read	barcode	distance
read1	barcode1	9
read2	barcode2	8
read3	barcode3	7
read4	barcode4	7
read5	barcode5	8
read6	barcode6	8
read7	barcode7	8
read8	barcode8	4
read9	barcode9	8
read10	barcode10	6
read11	barcode11	8
read12	barcode12	5
read13	barcode13	6
read14	barcode14	8
read15	barcode15	9
read16	barcode16	8
read17	barcode17	3
read18	barcode18	7
read19	barcode19	4
read20	barcode20	3
read21	barcode21	8
read22	barcode22	9
read23	barcode23	7
read24	barcode24	10
read25	barcode25	9
read26	barcode26	7
read27	barcode27	7
read28	barcode28	5
read29	barcode29	11
read30	barcode30	7
read31	barcode31	5
read32	barcode32	7
read33	barcode33	5
read34	barcode34	8
read35	barcode35	2
read36	barcode36	4
read37	barcode37	4
read38	barcode38	8
read39	barcode39	7
read40	barcode40	7
read41	barcode41	7
read42	barcode42	7
read43	barcode43	2
read44	barcode44	6
read45	barcode45	5
read46	barcode46	5
read47	barcode47	9
read48	barcode48	9
read49	barcode49	3
read50	barcode50	5
read51	barcode51	3
read52	barcode52	6
read53	barcode53	8
read54	barcode54	9
read55	barcode55	10
read56	barcode56	6
read57	barcode57	6
read58	barcode58	8
read59	barcode59	5
read60	barcode60	5
read61	barcode61	6
read62	barcode62	7
read63	barcode63	9
read64	barcode64	6
read65	barcode65	5
read66	barcode66	5
read67	barcode67	5
read68	barcode68	3
read69	barcode69	7
read70	barcode70	5
read71	barcode71	9
read72	barcode72	4
read73	barcode73	5
read74	barcode74	8
read75	barcode75	4
read76	barcode76	8
read77	barcode77	6
read78	barcode78	4
read79	barcode79	5
read80	barcode80	6
read81	barcode81	8
read82	barcode82	7
read83	barcode83	4
read84	barcode84	6
read85	barcode85	8
read86	barcode86	4
read87	barcode87	8
read88	barcode88	6
read89	barcode89	3
read90	barcode90	7
read91	barcode91	7
read92	barcode92	6
read93	barcode93	8
read94	barcode94	5
read95	barcode95	10
read96	barcode96	4
read97	barcode97	5
read98	barcode98	6
read99	barcode99	7
read100	barcode100	8
read101	barcode101	7
read102	barcode102	9
read103	barcode103	9
read104	barcode104	10
read105	barcode105	6
read106	barcode106	11
read107	barcode107	4
read108	barcode108	7
read109	barcode109	8
read110	barcode110	6
read111	barcode111	8
read112	barcode112	10
read113	barcode113	9
read114	barcode114	7
read115	barcode115	5
read116	barcode116	9
read117	barcode117	5
read118	barcode118	6
read119	barcode119	3
read120	barcode120	8
read121	barcode121	6
read122	barcode122	11
read123	barcode123	9
read124	barcode124	9
read125	barcode125	6
read126	barcode126	10
read127	barcode127	7
read128	barcode128	3
read129	barcode129	7
read130	barcode130	9
read131	barcode131	5
read132	barcode132	8
read133	barcode133	6
read134	barcode134	5
read135	barcode135	9
read136	barcode136	6
read137	barcode137	12
read138	barcode138	4
read139	barcode139	12
read140	barcode140	8
read141	barcode141	5
read142	barcode142	3
read143	barcode143	9
read144	barcode144	8
read145	barcode145	3
read146	barcode146	5
read147	barcode147	4
read148	barcode148	4
read149	barcode149	5
read150	barcode150	9
read151	barcode151	7
read152	barcode152	6
read153	barcode153	8
read154	barcode154	3
read155	barcode155	5
read156	barcode156	5
read157	barcode157	10
read158	barcode158	5
read159	barcode159	7
read160	barcode160	9
read161	barcode161	2
read162	barcode162	5
read163	barcode163	4
read164	barcode164	9
read165	barcode165	8
read166	barcode166	8
read167	barcode167	7
read168	barcode168	1
read169	barcode169	9
read170	barcode170	6
read171	barcode171	11
read172	barcode172	3
read173	barcode173	5
read174	barcode174	8
read175	barcode175	5
read176	barcode176	5
read177	barcode177	8
read178	barcode178	5
read179	barcode179	8
read180	barcode180	9
read181	barcode181	6
read182	barcode182	11
read183	barcode183	4
read184	barcode184	4
read185	barcode185	5
read186	barcode186	6
read187	barcode187	8
read188	barcode188	10
read189	barcode189	7
read190	barcode190	8
read191	barcode191	4
read192	barcode192	7
read193	barcode193	6
read194	barcode194	4
read195	barcode195	5
read196	barcode196	5
read197	barcode197	5
read198	barcode198	7
read199	barcode199	5
